,Algorithm,Segment,Mean Reward,Max Reward,SD Rewards
0,Q-Learning,0,-1.8562033333333334,12.0,20.81055675657563
1,Q-Learning,1,1.4079633333333332,17.0,4.676345715619076
2,Q-Learning,2,6.3235275,22.0,6.250509775749796
3,Dyna-Q,0,1.62043,12.0,17.511816866003176
4,Dyna-Q,1,2.46629,17.0,7.168713294766827
5,Dyna-Q,2,6.7383975,22.0,11.88305060293836
6,Dyna-Q: F,0,1.7143233333333334,12.0,16.414653783803125
7,Dyna-Q: F,1,2.71475,17.0,7.452044178445268
8,Dyna-Q: F,2,7.2237375,22.0,8.189844261711801
9,Dyna-Q+,0,1.39945,12.0,16.487844301105586
10,Dyna-Q+,1,4.798403333333333,17.0,12.2376275798861
11,Dyna-Q+,2,4.88003,22.0,14.353147466639504
